Length,Speaker,Emotions,Start_Time,End_Time,Utterances,Dialogue_ID,Season,Episode,Utterance_IDs,Line_Indices
3,Ross,"['surprise', 'anger', 'surprise']","0:22:05,407","0:22:09,013","['Wait a minute!', 'No!', 'I’m the nice one!']",332,8,1,"[11, 12, 13]","3329,3330,3331"
3,Ross,"['anger', 'surprise', 'surprise']","0:22:06,089","00:22:12,955","['No!', 'I’m the nice one!', 'I’m the one who danced with the kids all night!']",332,8,1,"[12, 13, 14]","3330,3331,3332"
3,Ross,"['surprise', 'surprise', 'neutral']","0:22:07,132","00:22:15,499","['I’m the nice one!', 'I’m the one who danced with the kids all night!', 'How…How small are your feet?']",332,8,1,"[13, 14, 15]","3331,3332,3333"
2,Ross,"['surprise', 'neutral']","00:22:09,077","00:22:15,499","['I’m the one who danced with the kids all night!', 'How…How small are your feet?']",332,8,1,"[14, 15]","3332,3333"
3,Monica,"['sadness', 'anger', 'fear']","00:12:29,915","00:12:39,591","['No.', 'No, just, just, just a couple more boxes.', 'It-it-it’s no big deal, all right, I’m-I’m cool.']",336,3,10,"[6, 7, 8]","3365,3366,3367"
3,Monica,"['anger', 'fear', 'sadness']","00:12:29,915","00:12:44,137","['No, just, just, just a couple more boxes.', 'It-it-it’s no big deal, all right, I’m-I’m cool.', 'You gotta help me out with a couple more boxes!']",336,3,10,"[7, 8, 9]","3366,3367,3368"
2,Monica,"['fear', 'sadness']","00:12:29,915","00:12:44,137","['It-it-it’s no big deal, all right, I’m-I’m cool.', 'You gotta help me out with a couple more boxes!']",336,3,10,"[8, 9]","3367,3368"
3,Rachel,"['surprise', 'joy', 'neutral']","00:15:53,994","00:16:04,921","['What?', 'This-this, no, oh no, no-no-no, this is not—that’s-that’s not what it is.', 'See, see, okay, I work in fashion, see and-and, this is a real dress actually.']",338,4,18,"[3, 4, 5]","3407,3408,3409"
2,Rachel,"['joy', 'neutral']","00:15:53,994","00:16:04,921","['This-this, no, oh no, no-no-no, this is not—that’s-that’s not what it is.', 'See, see, okay, I work in fashion, see and-and, this is a real dress actually.']",338,4,18,"[4, 5]","3408,3409"
3,Joey,"['joy', 'neutral', 'neutral']","00:02:13,550","0:02:19,218","['Very funny Ross!', 'Very life-like and funny.', 'Okay.']",344,5,17,"[0, 1, 2]","3450,3451,3452"
3,Joey,"['neutral', 'neutral', 'surprise']","0:02:17,554","00:02:28,772","['Okay.', ""Oh no-no-no, I wasn't waving at you lady."", 'Whoa, maybe I was!']",344,5,17,"[2, 3, 4]","3452,3453,3454"
2,Joey,"['neutral', 'surprise']","00:02:21,474","00:02:28,772","[""Oh no-no-no, I wasn't waving at you lady."", 'Whoa, maybe I was!']",344,5,17,"[3, 4]","3453,3454"
3,Joey,"['joy', 'fear', 'neutral']","00:02:36,489","00:02:46,915","[""Yeah, I-I-I'm down with that."", 'Okay, here goes.', ""How  you  a-doin'?""]",344,5,17,"[7, 8, 9]","3457,3458,3459"
3,Joey,"['fear', 'neutral', 'surprise']","00:02:40,702","0:02:52,673","['Okay, here goes.', ""How  you  a-doin'?"", 'It worked!']",344,5,17,"[8, 9, 10]","3458,3459,3460"
3,Joey,"['neutral', 'surprise', 'joy']","00:02:43,746","0:02:53,765","[""How  you  a-doin'?"", 'It worked!', ""She's waving me over.""]",344,5,17,"[9, 10, 11]","3459,3460,3461"
3,Joey,"['surprise', 'joy', 'joy']","0:02:51,838","0:02:55,362","['It worked!', ""She's waving me over."", ""Okay, I-I-I'll be right over.""]",344,5,17,"[10, 11, 12]","3460,3461,3462"
3,Joey,"['joy', 'joy', 'neutral']","0:02:52,673","00:02:57,759","[""She's waving me over."", ""Okay, I-I-I'll be right over."", ""Let's see, she's on the third floor""]",344,5,17,"[11, 12, 13]","3461,3462,3463"
2,Joey,"['joy', 'neutral']","0:02:53,765","00:02:57,759","[""Okay, I-I-I'll be right over."", ""Let's see, she's on the third floor""]",344,5,17,"[12, 13]","3462,3463"
3,Chandler,"['neutral', 'anger', 'joy']","00:21:46,138","00:21:54,854","['Yes, Fran.', ""I know what time it is, but I'm looking at the WENUS and I'm not happy!..."", 'Oh, really, really, really?']",352,1,15,"[0, 1, 2]","3532,3533,3534"
3,Chandler,"['anger', 'joy', 'anger']","00:21:48,348","0:21:58,164","[""I know what time it is, but I'm looking at the WENUS and I'm not happy!..."", 'Oh, really, really, really?', 'Well, let me tell you something... you will care about it, because I care about it!']",352,1,15,"[1, 2, 3]","3533,3534,3535"
3,Chandler,"['joy', 'anger', 'neutral']","00:21:52,728","0:21:58,626","['Oh, really, really, really?', 'Well, let me tell you something... you will care about it, because I care about it!', 'You got it?']",352,1,15,"[2, 3, 4]","3534,3535,3536"
3,Chandler,"['anger', 'neutral', 'joy']","0:21:55,022","0:21:59,680","['Well, let me tell you something... you will care about it, because I care about it!', 'You got it?', 'Good!']",352,1,15,"[3, 4, 5]","3535,3536,3537"
3,Chandler,"['neutral', 'joy', 'surprise']","0:21:58,164","00:22:04,113","['You got it?', 'Good!', 'Whooooaaaa....']",352,1,15,"[4, 5, 6]","3536,3537,3538"
2,Chandler,"['joy', 'surprise']","0:21:58,626","00:22:04,113","['Good!', 'Whooooaaaa....']",352,1,15,"[5, 6]","3537,3538"
3,Monica,"['neutral', 'neutral', 'anger']","0:02:04,124","00:02:10,879","[""I'm going into business people."", ""I'm sick and tired of being depressed about Richard."", 'I needed a plan, a plan to get over my man.']",356,3,3,"[15, 16, 17]","3579,3580,3581"
3,Monica,"['neutral', 'anger', 'neutral']","0:02:05,546","0:02:12,257","[""I'm sick and tired of being depressed about Richard."", 'I needed a plan, a plan to get over my man.', ""What's the opposite of man?""]",356,3,3,"[16, 17, 18]","3580,3581,3582"
3,Monica,"['anger', 'neutral', 'neutral']","00:02:08,211","0:02:14,159","['I needed a plan, a plan to get over my man.', ""What's the opposite of man?"", 'Jam.']",356,3,3,"[17, 18, 19]","3581,3582,3583"
3,Monica,"['neutral', 'neutral', 'fear']","0:02:11,047","0:02:17,679","[""What's the opposite of man?"", 'Jam.', ""Oh Joey don't!""]",356,3,3,"[18, 19, 20]","3582,3583,3584"
3,Monica,"['neutral', 'fear', 'anger']","0:02:12,257","0:02:18,148","['Jam.', ""Oh Joey don't!"", ""It's way to hot.""]",356,3,3,"[19, 20, 21]","3583,3584,3585"
2,Monica,"['fear', 'anger']","0:02:16,219","0:02:18,148","[""Oh Joey don't!"", ""It's way to hot.""]",356,3,3,"[20, 21]","3584,3585"
2,Phoebe,"['sadness', 'neutral']","00:00:58,475","00:01:09,151","['Yes, while I was in the chair!', ""That’s why I take such good care of my teeth now, y'know, it’s not about oral hygiene, I floss to save lives!""]",358,3,8,"[14, 15]","3606,3607"
2,Rachel,"['neutral', 'sadness']","00:12:11,272","00:12:14,482","['No, I know, but I—he just went on.', ""He's right there, he's got the blue jacket on, I... can I j-just...""]",365,1,24,"[4, 5]","3656,3657"
2,Man,"['surprise', 'anger']","00:12:39,216","00:12:46,765","["": Toby... Oh, for God's sake, I don't know what she's talking about!"", ""There's no Rachel!""]",365,1,24,"[13, 14]","3665,3666"
3,Chandler,"['neutral', 'neutral', 'anger']","0:19:23,036","0:19:27,124","[""Here's the thing, Janice."", ""You know, I mean, it's like we're different."", ""I'm like the bing, bing, bing.""]",366,1,5,"[0, 1, 2]","3668,3669,3670"
3,Chandler,"['neutral', 'anger', 'neutral']","0:19:24,218","0:19:27,768","[""You know, I mean, it's like we're different."", ""I'm like the bing, bing, bing."", ""You're like the boom, boom, ... boom.""]",366,1,5,"[1, 2, 3]","3669,3670,3671"
2,Chandler,"['anger', 'neutral']","0:19:25,747","0:19:27,768","[""I'm like the bing, bing, bing."", ""You're like the boom, boom, ... boom.""]",366,1,5,"[2, 3]","3670,3671"
3,Chandler,"['joy', 'neutral', 'neutral']","00:13:44,365","00:13:56,417","['It doesn’t matter because nothing beats a three and a six.', 'That my friend is D-Cup.', 'Okay, now much have you won so far?']",367,6,6,"[2, 3, 4]","3689,3690,3691"
3,Chandler,"['neutral', 'neutral', 'surprise']","00:14:13,352","00:14:28,783","['Now, after you receive the doubling bonus, you get uh, one card.', 'Now that one card could be worth $100 bringing your total to 1,500.', 'Don’t get to excited because that’s not gonna happen unless you get—No way!']",367,6,6,"[13, 14, 15]","3700,3701,3702"
2,Chandler,"['neutral', 'surprise']","00:14:18,357","00:14:28,783","['Now that one card could be worth $100 bringing your total to 1,500.', 'Don’t get to excited because that’s not gonna happen unless you get—No way!']",367,6,6,"[14, 15]","3701,3702"
2,Ross,"['sadness', 'joy']","00:21:44,678","00:22:05,323","['I’m, I’m sorry you didn’t get to go to Spacecamp, and I’m hoping that maybe somehow, this may make up for it.', 'Presenting Sarah Tuttle’s Private Very Special Spacecamp!']",368,3,10,"[0, 1]","3703,3704"
3,Phoebe,"['joy', 'sadness', 'joy']","00:19:32,796","00:19:42,638","[""But they don't see all the wonderfulness that I see."", ""They don't see all the good stuff and all the sweet stuff."", ""They just think you're a little...""]",372,1,13,"[8, 9, 10]","3730,3731,3732"
2,Phoebe,"['sadness', 'joy']","00:19:37,342","00:19:42,638","[""They don't see all the good stuff and all the sweet stuff."", ""They just think you're a little...""]",372,1,13,"[9, 10]","3731,3732"
3,Woman,"['neutral', 'neutral', 'anger']","0:15:50,658","0:15:57,177","['Well you can have the suite if you want.', 'We don’t care about where we stay.', 'We’re here to celebrate our love together.']",374,8,3,"[10, 11, 12]","3754,3755,3756"
3,Woman,"['neutral', 'anger', 'anger']","0:15:52,827","0:15:59,641","['We don’t care about where we stay.', 'We’re here to celebrate our love together.', 'We don’t have to get free stuff.']",374,8,3,"[11, 12, 13]","3755,3756,3757"
3,Woman,"['anger', 'anger', 'joy']","0:15:55,245","00:16:02,043","['We’re here to celebrate our love together.', 'We don’t have to get free stuff.', 'We just want to be together.']",374,8,3,"[12, 13, 14]","3756,3757,3758"
2,Woman,"['anger', 'joy']","0:15:57,177","00:16:02,043","['We don’t have to get free stuff.', 'We just want to be together.']",374,8,3,"[13, 14]","3757,3758"
3,Rachel,"['neutral', 'joy', 'joy']","00:17:54,406","0:17:59,053","['Okay, well then how about a handshake?', ""Oh God I'm sorry!"", ""Oh God, I'm sorry!""]",375,5,17,"[1, 2, 3]","3761,3762,3763"
3,Rachel,"['joy', 'joy', 'fear']","0:17:57,367","00:18:04,665","[""Oh God I'm sorry!"", ""Oh God, I'm sorry!"", 'I did not mean to touch that—I mean']",375,5,17,"[2, 3, 4]","3762,3763,3764"
2,Rachel,"['joy', 'fear']","0:17:58,369","00:18:04,665","[""Oh God, I'm sorry!"", 'I did not mean to touch that—I mean']",375,5,17,"[3, 4]","3763,3764"
3,Mark,"['neutral', 'neutral', 'surprise']","00:15:18,000","00:15:24,422","[""Y'know?"", 'Look, if you want to get back at Ross, I am here for you.', 'Really?']",379,3,19,"[8, 9, 10]","3788,3789,3790"
2,Mark,"['neutral', 'surprise']","00:15:18,792","00:15:24,422","['Look, if you want to get back at Ross, I am here for you.', 'Really?']",379,3,19,"[9, 10]","3789,3790"
2,Mark,"['neutral', 'anger']","00:15:24,590","00:15:29,594","['No-no, I say-I say, I say we get back at him right on this couch.', 'Right here!']",380,6,10,"[0, 1]","3791,3792"
2,Joey,"['disgust', 'joy']","00:09:23,680","00:09:40,960","['I saw this movie once where there was a door and no one knew what was behind it, and when they finally got it open millions and millions and millions of bugs came pouring out and they feasted on human flesh.', 'Y’know it wouldn’t kill ya to respect your wife’s privacy!']",383,8,14,"[1, 2]","3801,3802"
2,Joey,"['joy', 'anger']","00:09:37,280","00:09:48,560","['Y’know it wouldn’t kill ya to respect your wife’s privacy!', 'Stupid closet full of bugs!']",383,8,14,"[2, 3]","3802,3803"
3,Joey,"['neutral', 'neutral', 'surprise']","00:10:09,000","00:10:14,520","['Take my hand.', 'Here we go.', 'Oww crushing bones!']",383,8,14,"[9, 10, 11]","3813,3814,3815"
2,Joey,"['neutral', 'surprise']","00:10:11,000","00:10:14,520","['Here we go.', 'Oww crushing bones!']",383,8,14,"[10, 11]","3814,3815"
2,Joey,"['joy', 'sadness']","00:21:34,584","00:21:42,008","['Cool!!', 'Ross, Joey. Joey, Ross.']",387,3,6,"[3, 4]","3831,3832"
3,Joey,"['surprise', 'surprise', 'joy']","00:06:29,972","0:06:36,312","['Aw!', 'Look at that, every inch of this stuff is glued down.', 'It’d take forever to pry this up.']",388,3,5,"[10, 11, 12]","3844,3845,3846"
3,Joey,"['surprise', 'joy', 'neutral']","00:06:31,391","0:06:38,219","['Look at that, every inch of this stuff is glued down.', 'It’d take forever to pry this up.', 'You should ah, you should just leave it.']",388,3,5,"[11, 12, 13]","3845,3846,3847"
2,Joey,"['joy', 'neutral']","0:06:34,560","0:06:38,219","['It’d take forever to pry this up.', 'You should ah, you should just leave it.']",388,3,5,"[12, 13]","3846,3847"
2,Joey,"['joy', 'surprise']","0:15:10,003","00:15:16,539","['Absolutely! And if it doesn’t, can I get the extra ticket?', 'What the heck is that?']",390,4,13,"[1, 2]","3866,3867"
3,Phoebe,"['joy', 'joy', 'neutral']","0:17:51,180","00:17:55,865","['Ooh!', 'Ooh!', 'I just say someone on the—that looks just like you on the subway.']",392,4,23,"[3, 4, 5]","3872,3873,3874"
3,Phoebe,"['joy', 'neutral', 'joy']","0:17:52,807","00:18:00,495","['Ooh!', 'I just say someone on the—that looks just like you on the subway.', 'And I was gonna go over and say ‘hi!’ but then I figured, he doesn’t care if he looks like you.']",392,4,23,"[4, 5, 6]","3873,3874,3875"
2,Phoebe,"['neutral', 'joy']","00:17:53,030","00:18:00,495","['I just say someone on the—that looks just like you on the subway.', 'And I was gonna go over and say ‘hi!’ but then I figured, he doesn’t care if he looks like you.']",392,4,23,"[5, 6]","3874,3875"
2,Liam,"['joy', 'anger']","00:12:44,013","00:12:50,351","['Ross! Ross! Come on! Get in here!  Ross! Come on!', 'Ross, come on! Get in the bloody scrum! Ross, get in!']",393,4,15,"[5, 6]","3887,3888"
2,Phoebe,"['sadness', 'surprise']","00:15:29,887","00:15:37,393","[""I'm so sorry! No I'm sorry! No I'm sorry! No I'm sorry!"", 'No, wait, oh, what are we sorry about?']",398,1,12,"[6, 7]","3911,3912"
2,Rachel,"['neutral', 'sadness']","00:16:23,607","00:16:34,450","[""No, no, trust, me, it's, it's, it's much better that I know."", 'Uh, I just liked it better before it was better...']",400,1,12,"[7, 8]","3927,3928"
3,Joey,"['neutral', 'anger', 'sadness']","0:02:59,137","00:03:05,767","['No, Chandler.', 'Look, forget about it, okay?', 'Look, I know things have been a little tight since Janine moved out.']",404,6,12,"[6, 7, 8]","3951,3952,3953"
3,Joey,"['anger', 'sadness', 'joy']","0:03:00,139","00:03:05,767","['Look, forget about it, okay?', 'Look, I know things have been a little tight since Janine moved out.', 'Oh, was she hot.']",404,6,12,"[7, 8, 9]","3952,3953,3954"
2,Joey,"['sadness', 'joy']","00:03:01,806","00:03:05,767","['Look, I know things have been a little tight since Janine moved out.', 'Oh, was she hot.']",404,6,12,"[8, 9]","3953,3954"
3,Joey,"['surprise', 'neutral', 'neutral']","0:03:06,937","0:03:10,065","['I know!', 'Yeah, but, look I can handle it.', 'All right?']",404,6,12,"[11, 12, 13]","3956,3957,3958"
3,Chandler,"['neutral', 'anger', 'anger']","0:21:38,964","0:21:44,388","[""Oh good, okay, I can't take it anymore."", ""I can't take it anymore."", 'So you win, okay?']",405,5,11,"[0, 1, 2]","3965,3966,3967"
3,Chandler,"['anger', 'anger', 'surprise']","0:21:44,388","0:21:48,253","['Here!', 'Pheebs?', 'Flying a jet?']",405,5,11,"[3, 4, 5]","3968,3969,3970"
3,Chandler,"['anger', 'surprise', 'neutral']","0:21:45,679","00:21:50,641","['Pheebs?', 'Flying a jet?', 'Better make it a spaceship so that you can get back to your']",405,5,11,"[4, 5, 6]","3969,3970,3971"
2,Chandler,"['surprise', 'neutral']","0:21:46,514","00:21:50,641","['Flying a jet?', 'Better make it a spaceship so that you can get back to your']",405,5,11,"[5, 6]","3970,3971"
2,Chandler,"['neutral', 'joy']","00:01:59,869","0:02:14,010","['Oh yeah?  Joshua, give me a call sometime, guys like you  never go out of style—what did you throw away?', 'Hi guys!']",409,4,16,"[2, 3]","3995,3996"
2,Ross,"['joy', 'neutral']","00:19:10,232","00:19:18,406","['Fine, just stop thinking about me.', ""Can't do it, can you?""]",410,1,24,"[3, 4]","4007,4008"
2,Rachel,"['fear', 'sadness']","00:19:52,399","00:19:54,358","['If we broke up, and I lost you...', 'Ohh, God.']",410,1,24,"[17, 18]","4021,4022"
3,Joey,"['neutral', 'neutral', 'fear']","0:13:06,288","00:13:09,454","['Okay, I can do this.', 'I can tell her how I feel.', 'Just uh, just stand up straight.']",421,8,16,"[1, 2, 3]","4113,4114,4115"
3,Joey,"['neutral', 'fear', 'fear']","0:13:06,590","00:13:12,582","['I can tell her how I feel.', 'Just uh, just stand up straight.', 'Take a couple deep breaths.']",421,8,16,"[2, 3, 4]","4114,4115,4116"
3,Monica,"['neutral', 'neutral', 'surprise']","0:11:34,122","00:11:42,575","[""No, he's gone."", ""No no, you don't have to fly back, really."", 'What do you mean this might be your only chance?']",423,1,23,"[3, 4, 5]","4133,4134,4135"
3,Monica,"['neutral', 'surprise', 'anger']","00:11:37,113","00:11:45,120","[""No no, you don't have to fly back, really."", 'What do you mean this might be your only chance?', 'Would you stop?']",423,1,23,"[4, 5, 6]","4134,4135,4136"
3,Monica,"['surprise', 'anger', 'anger']","00:11:40,449","00:11:50,792","['What do you mean this might be your only chance?', 'Would you stop?', ""I'm only 26, I'm not even thinking about babies yet.""]",423,1,23,"[5, 6, 7]","4135,4136,4137"
3,Ross,"['neutral', 'neutral', 'anger']","0:09:48,921","00:10:04,477","['She lives so close.', 'And, at the end of the date, the other time, she-she said something that was—if she was kidding was very funny.', 'On the other hand, if she wasn’t kidding, she’s not fun, she’s stupid, and kind of a racist.']",424,4,10,"[10, 11, 12]","4152,4153,4154"
2,Ross,"['neutral', 'anger']","00:09:51,716","00:10:04,477","['And, at the end of the date, the other time, she-she said something that was—if she was kidding was very funny.', 'On the other hand, if she wasn’t kidding, she’s not fun, she’s stupid, and kind of a racist.']",424,4,10,"[11, 12]","4153,4154"
2,Rachel,"['neutral', 'sadness']","00:20:46,662","00:20:56,212","['Oh, I mean she’s gonna be at the wedding waiting for him and people will be whispering, ""Oh that poor girl.""', 'Then she’ll have to come back here and live all alone.']",425,7,23,"[1, 2]","4161,4163"
3,Phoebe,"['neutral', 'sadness', 'anger']","00:21:10,852","00:21:24,115","['Hi.', 'Listen, I’m sorry about that whole thing with Roger.', 'It really wasn’t right, and I, and I want to make it up to you, so umm, I brought you something that I think you’ll really enjoy.']",426,8,11,"[0, 1, 2]","4167,4168,4169"
3,Phoebe,"['sadness', 'anger', 'neutral']","00:21:10,852","0:21:33,083","['Listen, I’m sorry about that whole thing with Roger.', 'It really wasn’t right, and I, and I want to make it up to you, so umm, I brought you something that I think you’ll really enjoy.', 'Now, this is just a loan.']",426,8,11,"[1, 2, 3]","4168,4169,4170"
3,Phoebe,"['anger', 'neutral', 'neutral']","00:21:15,899","0:21:33,725","['It really wasn’t right, and I, and I want to make it up to you, so umm, I brought you something that I think you’ll really enjoy.', 'Now, this is just a loan.', 'Okay?']",426,8,11,"[2, 3, 4]","4169,4170,4171"
3,Phoebe,"['neutral', 'neutral', 'sadness']","0:21:33,725","00:21:47,430","['I’m gonna, I’m gonna want him back.', 'So…  I’m gonna go now.', 'I’m sorry, I thought I could do it and I can’t!']",426,8,11,"[5, 6, 7]","4172,4173,4174"
2,Phoebe,"['neutral', 'sadness']","0:21:35,697","00:21:47,430","['So…  I’m gonna go now.', 'I’m sorry, I thought I could do it and I can’t!']",426,8,11,"[6, 7]","4173,4174"
2,Chandler,"['surprise', 'sadness']","00:21:44,594","00:21:53,352","['What do you want from me, I’ve never met the guy.', 'So anyway, Rachel, I’m sorry you can’t stay,  but the rest of us have a']",428,4,14,"[7, 8]","4187,4188"
3,Phoebe,"['disgust', 'surprise', 'anger']","00:14:51,807","0:14:56,591","['That sucks!', ""That's not a trip!"", 'I just came from the park!']",431,5,2,"[9, 10, 11]","4219,4220,4221"
3,Phoebe,"['surprise', 'anger', 'anger']","0:14:54,268","00:14:59,731","[""That's not a trip!"", 'I just came from the park!', 'What are we gonna high five about at the stupid Central Park?']",431,5,2,"[10, 11, 12]","4220,4221,4222"
2,Rachel,"['surprise', 'anger']","00:15:09,867","00:15:24,964","['Ho-ho-hold on a sec there, Mr. Kissey!', ""Y'know, I've been meaning to talk to you about this whole, little, new European thing you got going on, and I just need to tell you that it makes me very uncomfortable and I just—y'know—stop it!""]",431,5,2,"[15, 16]","4226,4227"
3,Ross,"['neutral', 'neutral', 'joy']","00:19:46,351","00:20:06,454","['On the other hand in um, in about seven months you’re gonna have something that you’re gonna love more than any guy you’ve ever gone out with.', 'Just wait.', 'Wait until uh, wait until the first time your baby grabs your finger.']",434,8,5,"[4, 5, 6]","4238,4239,4240"
3,Ross,"['neutral', 'joy', 'joy']","00:19:59,489","00:20:09,123","['Just wait.', 'Wait until uh, wait until the first time your baby grabs your finger.', 'You have no idea.']",434,8,5,"[5, 6, 7]","4239,4240,4241"
3,Joey,"['joy', 'disgust', 'anger']","00:06:19,045","00:06:26,676","['Look at this clown!', 'Just because he’s got a bigger boat he thinks he can take up the whole river.', 'Get out of the way jackass!']",436,7,3,"[0, 1, 2]","4260,4261,4262"
3,Joey,"['disgust', 'anger', 'disgust']","00:06:20,463","00:06:31,056","['Just because he’s got a bigger boat he thinks he can take up the whole river.', 'Get out of the way jackass!', 'Who names their boat Coast Guard anyway?']",436,7,3,"[1, 2, 3]","4261,4262,4263"
2,Joey,"['anger', 'disgust']","00:06:23,966","00:06:31,056","['Get out of the way jackass!', 'Who names their boat Coast Guard anyway?']",436,7,3,"[2, 3]","4262,4263"
3,Phoebe,"['disgust', 'neutral', 'joy']","00:13:13,709","0:13:22,764","['No, no, no, I wouldn’t do you myself, I mean that would be weird.', 'Yeah, no, I’ll get one of the other girls to do it.', 'Oh, this will be so much fun!']",439,3,5,"[1, 2, 3]","4287,4288,4289"
3,Phoebe,"['neutral', 'joy', 'surprise']","00:13:19,256","0:13:25,226","['Yeah, no, I’ll get one of the other girls to do it.', 'Oh, this will be so much fun!', 'Hey!']",439,3,5,"[2, 3, 4]","4288,4289,4290"
3,Phoebe,"['joy', 'surprise', 'joy']","0:13:21,342","00:13:27,430","['Oh, this will be so much fun!', 'Hey!', 'Are you excited?']",439,3,5,"[3, 4, 5]","4289,4290,4291"
2,Phoebe,"['surprise', 'joy']","0:13:22,764","00:13:27,430","['Hey!', 'Are you excited?']",439,3,5,"[4, 5]","4290,4291"
3,Mona,"['joy', 'neutral', 'neutral']","0:11:15,345","0:11:20,915","['No, it’s still wet.', 'Let me get it out before it sets.', 'Ooh, I have something you can wear.']",441,8,17,"[3, 4, 5]","4310,4312,4313"
2,Phoebe,"['neutral', 'surprise']","00:02:00,370","00:02:17,886","['Okay, your highness.', 'Um, Rachel I’m really sorry.  That’s okay, do you wanna get back together?  Yeah, okay.  Did anyone else hear that?!']",443,3,17,"[6, 7]","4331,4332"
3,Monica,"['joy', 'joy', 'anger']","00:10:25,124","00:10:39,804","['Absolutely!', 'Now get out of here you!!', 'Okay, I’m running out of places I can touch him!']",446,3,19,"[12, 13, 14]","4375,4376,4377"
3,Monica,"['joy', 'anger', 'sadness']","00:10:28,336","00:10:42,057","['Now get out of here you!!', 'Okay, I’m running out of places I can touch him!', 'Look, is there something wrong with me?']",446,3,19,"[13, 14, 15]","4376,4377,4378"
3,Monica,"['anger', 'sadness', 'sadness']","00:10:36,719","00:10:45,018","['Okay, I’m running out of places I can touch him!', 'Look, is there something wrong with me?', 'I mean why am I only attracted to guys where there’s no future?']",446,3,19,"[14, 15, 16]","4377,4378,4379"
2,Joey,"['neutral', 'joy']","00:09:10,174","00:09:23,353","['So, we’re walking down the street and I turn to you and I say, “Hey, let’s go hang out at Totally Nude Nudes,” remember?', 'And then, and then, you turn to me and say, “Nah, let’s just hang out at your place.” Well, that was a nice move dumb ass.']",447,3,18,"[1, 2]","4385,4386"
3,Ross,"['neutral', 'neutral', 'sadness']","00:20:34,942","00:20:55,044","['Item J437-A, color: winterberry.', 'Hi umm, listen come here, come in.', 'I’m so-so sorry about yesterday.']",449,8,17,"[0, 1, 2]","4399,4400,4401"
3,Ross,"['neutral', 'sadness', 'sadness']","00:20:49,456","0:20:56,678","['Hi umm, listen come here, come in.', 'I’m so-so sorry about yesterday.', 'I-I’m really sorry.']",449,8,17,"[1, 2, 3]","4400,4401,4402"
3,Ross,"['sadness', 'sadness', 'joy']","00:20:52,334","0:20:57,973","['I’m so-so sorry about yesterday.', 'I-I’m really sorry.', 'It’s just that I']",449,8,17,"[2, 3, 4]","4401,4402,4403"
2,Ross,"['sadness', 'joy']","0:20:55,796","0:20:57,973","['I-I’m really sorry.', 'It’s just that I']",449,8,17,"[3, 4]","4402,4403"
3,Mona,"['sadness', 'joy', 'sadness']","0:21:03,929","00:21:12,895","['Yeah, you still have feelings for me.', 'And-and to be honest, I-I still have feelings for you.', 'And I wish that we can work it out Ross, but we can’t.']",449,8,17,"[7, 8, 9]","4406,4407,4408"
3,Mona,"['joy', 'sadness', 'sadness']","00:21:06,181","00:21:20,444","['And-and to be honest, I-I still have feelings for you.', 'And I wish that we can work it out Ross, but we can’t.', 'It’s too complicated with you and Rachel and the baby, I-I just… It just wasn’t meant to be.']",449,8,17,"[8, 9, 10]","4407,4408,4409"
2,Monica,"['surprise', 'joy']","00:13:51,038","00:14:11,432","['It is so weird, I know what I said, but uh, this morning, I was lying in bed I was, I was imagining what it would be like to say yes.', 'I know it’s a little sudden, and it’s a little rushed, and it’s totally not like me to do something like this, but that doesn’t mean I can’t.']",450,3,23,"[8, 9]","4421,4422"
3,Monica,"['anger', 'neutral', 'neutral']","00:44:20,366","00:44:29,207","[""I can't just walk away! I've put in four hours!"", 'You knew this about me when you married me!', 'You agreed to take me in sickness and in health.']",451,9,23,"[4, 5, 6]","4441,4444,4445"
3,Monica,"['neutral', 'neutral', 'anger']","00:44:23,702","00:44:31,668","['You knew this about me when you married me!', 'You agreed to take me in sickness and in health.', 'Well, this is my sickness!']",451,9,23,"[5, 6, 7]","4444,4445,4446"
2,Monica,"['neutral', 'anger']","00:44:26,246","00:44:31,668","['You agreed to take me in sickness and in health.', 'Well, this is my sickness!']",451,9,23,"[6, 7]","4445,4446"
2,Julie,"['surprise', 'anger']","00:20:21,303","00:20:31,604","['Oh my god, are you kidding?', ""Ross is so crazy about you, and I really wanted you to like me, and, it's probably me being totally paranoid, but I kinda got the feeling that maybe you don't.""]",455,2,2,"[7, 8]","4465,4466"
3,Barry,"['joy', 'sadness', 'sadness']","00:07:05,508","00:07:14,266","['We can, we can go to Aruba!', 'When I went there on what would have been our honeymoon, it was, uh... it was really nice.', ""You would've liked it.""]",457,1,20,"[6, 7, 8]","4494,4495,4496"
3,Rachel,"['neutral', 'neutral', 'surprise']","0:05:16,274","00:05:30,370","['It was cheesecake.', 'It was fine.', 'It had a buttery, crumbly, graham cracker crust, with a very rich yet light, cream cheese filling…  Wow!']",463,7,11,"[6, 7, 8]","4543,4544,4545"
3,Rachel,"['neutral', 'surprise', 'joy']","0:05:17,985","00:05:35,876","['It was fine.', 'It had a buttery, crumbly, graham cracker crust, with a very rich yet light, cream cheese filling…  Wow!', 'My whole mouth just filled with saliva!']",463,7,11,"[7, 8, 9]","4544,4545,4546"
2,Rachel,"['surprise', 'joy']","00:05:19,402","00:05:35,876","['It had a buttery, crumbly, graham cracker crust, with a very rich yet light, cream cheese filling…  Wow!', 'My whole mouth just filled with saliva!']",463,7,11,"[8, 9]","4545,4546"
